Number,Title,Subtitle,Description,Tasks,Tips,Items,Transportation,Cover Image
1,“24 Hours”,“A Full-Day Adventure”,"[“Document your day's journey by taking one picture every hour.”, “Do you find it difficult or easy to find something to take a picture of every hour? Is there something that crosses your way more than once?”]",[“Take a picture of your journey or every day activities every hour”],"[“Don’t forget to take pictures at night and in the very early morning, too.”]",“camera”,,“01_24hours.jpg”
2,“Bus Ride”,“Hooray for Public Transportation”,"[“Find a bus station and take the first bus that arrives. If the destination is unknown to you it's even better. Lay back, look out the window and enjoy the bus ride.”, “After arriving at your destination, start exploring it. Why do you think is this the final destination of this bus route? Is there something special? Have you ever been to this place before?”]","[“Find a bus station”, “Take the first bus that arrives”, “Exit at the last station”, “Explore your destination”]",,,“Public Transport”,“02_busride.jpg”
3,“A Day at the Zoo”,“We Are More Alike Than Different”,"“Visit a zoo and take pictures of animals and the people, watching them.”",“Take pictures of people watching animals”,"[“Observe and photograph the people watching and posing in front of the cages”, “Try to find relationships between the people and the animals”]",“camera”,,“03_adayatthezoo.jpg”
4,“Street Photographer”,“A Beautiful Day in the City”,“Be a street photographer and spend 8 hours in a crowded city with a thriving and vibrant street life.”,“Document 8 hours spent in a city by taking photographs that reflect the spirit of the place”,"[“Get the vibe of the place and look out for interesting compositions in architecture and nature or amusing interactions with people”, “If you happen to be in a not so vibrant city you might need some extra time, but don’t get discouraged by that, see it as challenge to look deeper”]",“camera”,,“04_streetphotographer.jpg”
5,“All these Sounds”,“Shift the Focus to Listening”,"[“Wander around and record the sounds surrounding you.”, “Which sounds evoke some distant memories? Are there sounds you like or dislike in particular?”]",“Record 10 different sounds”,,“audio”,,“05_allthesesounds.jpg”
6,“Sights & Sounds”,“A Love Affair”,"[“Record different sounds and take a picture of the source emitting the sound.”, “Mixing two senses, in this case seeing and hearing, can help recalling memories even better instead of using only one. Imagine being on the beach: You took a picture of the ocean, but can you remember the seagulls flying around and making noise? Or the beach volleyball players root for each other?”]",“Take 5 pictures and record 5 corresponding sounds”,,"[“camera”, “audio”]",,“06_sightsandsounds.jpg”
7,“Chance”,“May Luck Be on Your Side”,“Let chance be your guide for today by pointing blindly on a map.”,"[“Get a map”, “Point randomly to a location on it”, “Travel to the selected destination”, “Explore”]",,“map”,,“07_chance.jpg”
8,“Tourist Spot”,“Could You Take a Picture of Us?”,"[“Find a typical tourist spot where you can find many travelers. Instead of taking pictures of landmarks, focus on the tourists.”, “What do you experience? Are there any popular or funny poses? Are they interacting with the landmarks? Pay attention and document your findings.”]",“Take pictures of tourists in front of landmarks”,,“camera”,,“08_touristspot.jpg”
9,“Drawing Trip”,“No Camera Allowed”,"[“For your next trip, leave your camera at home (ignore your smartphone camera, too.) You are not allowed to take any pictures.”, “Your trip can be a walk, a day excursion or a weekend journey.”, “After you get home, draw a picture of what you experienced and what fascinated you the most. Maybe an interaction with the locals, or a nice park where you fed squirrels. Try to sharpen your eyes and memorize little details.”]","[“Go on a trip”, “From memory, draw a picture of you liked the most about your trip”]",,“drawing”,,“09_drawingtrip.jpg”
10,“Road Trip”,"“Hit the Road, Wayfarer”","“Fill up that gas tank, create an awesome playlist and take your friends together on a road trip.”","[“While being the co-driver start by taking pictures from the car”, “Take random pictures by pointing and shooting out of the window without specific aim”]",,“camera”,“Car”,“10_roadtrip.jpg”
11,“In Every Picture”,"“Wait, I’ve Seen That Before”","“Choose one subject, object and include it for at least a whole day in every one of your pictures.”","[“First find out what you want to include in all of your pictures”, “Find places where you want your chosen object to appear and photograph it”]","“This could be everything you want, like your favorite stuffed animal or a photograph of your beloved ones.”",“camera”,,“11_ineverypicture.jpg”
12,“Non-Identical Twin”,“We Are (not) the Same”,"[“Play non-identical twin with a friend for a day or longer by wearing the same clothes.”, “Start taking pictures of the two of you (or more) in whatever situation you want to. Just as if you were taking regular tourist photos, but in front of whatever seems interesting to you, like a gas station, a diner, or a really cool tree.”]","[“Go shopping with your friend and get the same clothes”, “Take pictures of both of you in front of different places”]",,“camera”,,“12_nonidenticaltwin.jpg”
13,“Good Old Postcards”,“Almost As Romantic As a Love Letter”,“Make somebody happy by spontaneously sending a postcard from the location you're at. It doesn't matter if it's your hometown or if you're traveling.”,"[“Buy a postcard”, “Write a note or greeting”, “Send it to somebody and make this person’s day”]",,“writing”,,“13_goodoldpostcards.jpg”
14,“Five-Senses-Tour”,“Focused Experiences”,"“Explore a place using your five senses. See it, touch things, smell everything around you, hear the sounds, try to catch some conversations, taste a new dish. Anything that stimulates your senses.”","[“Experience your surroundings paying attention your five senses”, “Sight”, “Hearing”, “Taste”, “Smell”, “Touch”, “Document everything you experienced by taking pictures, recording sounds, collection things and more”]",,"[“camera”, “audio”, “video”, “map”, “drawing”, “writing”]",,“14_fivesensestour.jpg”
15,“Observer”,“Just Like Sherlock Holmes”,"[“Be a passive observer of a person you pick randomly.”, “Follow this person wherever he or she goes. If this person is going to see a movie, you are going to do this too. Is this person getting a haircut? Well, it seems you are getting a new haircut as well.”]","[“Find a person to follow”, “Write down everything this person is doing”, “BUT: Please keep in mind to respect the private space of a person! Avoid staring or getting too close.”]",,“writing”,,“15_observer.jpg”
16,“Go To A Sports Event”,“Fun for Everyone”,"[“Find out which is the most popular sport in the place you are visiting.”, “Buy a ticket, and attend a game.”]","[“Meet people”, “Take a picture with the mascot of the local team”, “Watch the game from different angles”]",,“camera”,,“16_gotoasportsevent.jpg”
